,Rank,Company,Revenues  ($ millions),Profits  ($ millions),Year
0,1,General Motors,9823.5,806.0,1955
1,2,Exxon Mobil,5661.4,584.8,1955
2,3,U.S. Steel,3250.4,195.4,1955
3,4,General Electric,2959.1,212.6,1955
4,5,Esmark,2510.8,19.1,1955
5,6,Chrysler,2071.6,18.5,1955
6,7,Armour,2056.1,1.6,1955
7,8,Gulf Oil,1705.3,182.8,1955
8,9,Mobil,1703.6,183.8,1955
9,10,DuPont,1687.7,344.4,1955
10,11,Amoco,1667.4,132.8,1955
11,12,Bethlehem Steel,1660.3,117.2,1955
12,13,CBS,1631.0,84.6,1955
13,14,Texaco,1574.4,226.1,1955
14,15,AT&T Technologies,1526.2,55.8,1955
15,16,Shell Oil,1312.1,121.1,1955
16,17,Kraft,1210.3,37.4,1955
17,18,ChevronTexaco,1113.3,211.9,1955
18,19,Goodyear Tire & Rubber,1090.1,48.1,1955
19,20,Boeing,1033.2,37.0,1955
20,21,Sinclair Oil,1021.5,91.6,1955
21,22,Navistar International,994.1,36.3,1955
22,23,RCA,941.0,40.5,1955
23,24,Union Carbide,923.7,89.8,1955
24,25,Firestone Tire & Rubber,916.0,40.5,1955
25,26,Douglas Aircraft,915.2,36.2,1955
26,27,Procter & Gamble,911.0,52.3,1955
27,28,Republic Steel,846.3,52.9,1955
28,29,Citgo Petroleum,813.2,43.7,1955
29,30,ConocoPhillips,794.6,76.2,1955
30,31,General Foods,783.0,27.9,1955
31,32,Uniroyal,782.6,28.0,1955
32,33,Borden Chemical,776.8,22.7,1955
33,34,Lockheed Martin,732.9,22.4,1955
34,35,Alcoa,708.3,46.5,1955
35,36,International Paper,681.2,73.5,1955
36,37,Wilson,680.5,3.1,1955
37,38,Sunoco,659.5,40.3,1955
38,39,United Technologies,654.2,26.0,1955
39,40,American Can,652.4,30.4,1955
40,41,General Dynamics,648.6,20.8,1955
41,42,Rockwell Automation,645.8,22.2,1955
42,43,Eastman Kodak,633.5,69.8,1955
43,44,Goodrich,630.7,38.8,1955
44,45,Continental Group,616.2,20.7,1955
45,46,Bendix,607.7,25.5,1955
46,47,Atlantic Richfield,596.2,36.8,1955
47,48,Fortune Brands,533.1,41.3,1955
48,49,Ryerson Tull,532.0,41.1,1955
49,50,ARMCO,530.8,43.1,1955
50,51,Honeywell Intl.,519.7,10.8,1955
51,52,AMAX,509.5,43.1,1955
52,53,Conoco,500.1,41.7,1955
53,54,Allis-Chalmers,492.9,26.1,1955
54,55,Jones & Laughlin Steel,492.9,25.0,1955
55,56,General Mills,487.6,11.2,1955
56,57,National Intergroup,484.1,30.3,1955
57,58,Curtiss-Wright,475.1,19.4,1955
58,59,Olin,470.1,34.3,1955
59,60,Asarco,466.8,21.5,1955
60,61,Intl. Business Machines,461.4,46.5,1955
61,62,Anaconda,461.1,26.7,1955
62,63,Tidewater Oil,459.0,34.5,1955
63,64,Cudahy,454.8,-7.2,1955
64,65,Briggs Manufacturing,440.9,0.8,1955
65,66,Sperry,440.9,28.5,1955
66,67,Nabisco Group Holdings,438.3,44.8,1955
67,68,PPG Industries,431.0,38.6,1955
68,69,Dow Chemical,428.3,33.4,1955
69,70,Youngstown Sheet & Tube,428.2,20.2,1955
70,71,Kennecott,423.6,77.9,1955
71,72,NL Industries,419.3,36.6,1955
72,73,Standard Brands,415.9,10.6,1955
73,74,Sealed Air,413.4,14.8,1955
74,75,Caterpillar,401.0,25.1,1955
75,76,American Motors,400.3,-11.1,1955
76,77,Ralston Purina,399.6,15.5,1955
77,78,American Cyanamid,397.6,27.1,1955
78,79,Pullman,391.0,13.3,1955
79,80,Pure Oil,388.3,31.2,1955
80,81,BorgWarner,380.3,24.5,1955
81,82,Nabisco Brands,376.4,19.9,1955
82,83,Avco,375.4,3.6,1955
83,84,Unocal,349.7,35.9,1955
84,85,Philco,349.3,6.8,1955
85,86,Burlington Industries Equity,347.5,8.4,1955
86,87,Monsanto,341.8,23.7,1955
87,88,Campbell Soup,338.7,23.6,1955
88,89,Owens-Illinois,336.7,21.5,1955
89,90,Pillsbury,336.0,4.9,1955
90,91,Singer,333.9,11.9,1955
91,92,Hormel Foods,331.8,1.8,1955
92,93,Hygrade Food Products,324.2,1.0,1955
93,94,Republic Aviation,323.5,9.0,1955
94,95,Carnation,310.0,7.7,1955
95,96,Amstar,308.8,7.6,1955
96,97,Reynolds Metals,306.8,20.3,1955
97,98,Morrell (John),306.5,0.5,1955
98,99,BP America,304.4,18.5,1955
99,100,American Standard,303.4,20.4,1955
0,101,United Merchants & Mfrs.,300.1,9.2,1955
1,102,Crane,299.8,5.8,1955
2,103,Crown Zellerbach,298.0,26.8,1955
3,104,Deere,295.6,20.6,1955
4,105,Liggett Group,294.1,22.2,1955
5,106,Sylvania Electric Products,281.6,9.5,1955
6,107,J.P. Stevens,277.6,3.6,1955
7,108,Phelps Dodge,277.1,41.2,1955
8,109,Beatrice,275.0,4.8,1955
9,110,Rath Packing,273.6,1.4,1955
10,111,Martin Marietta,270.7,20.1,1955
11,112,TRW,269.0,11.7,1955
12,113,Quaker Oats,266.1,8.9,1955
13,114,Weyerhaeuser,262.5,35.5,1955
14,115,Colgate-Palmolive,261.8,12.5,1955
15,116,NCR,259.1,12.7,1955
16,117,Manville,253.2,16.7,1955
17,118,Babcock & Wilcox,250.5,15.2,1955
18,119,CF&I Steel,250.2,7.1,1955
19,120,A.O. Smith,249.6,5.4,1955
20,121,Marathon Oil,248.5,38.2,1955
21,122,Foremost Dairies,247.4,6.1,1955
22,123,Furniture Brands Intl.,246.8,10.2,1955
23,124,ACF Industries,245.1,7.8,1955
24,125,Otis Elevator,244.0,6.3,1955
25,126,Coca-Cola,243.3,25.9,1955
26,127,Rockwell-Standard,241.8,12.1,1955
